filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_9_hMIN.pdb,17,6.0,0,0,0.35294117647058826,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_7_hMIN.pdb,17,6.0,0,0,0.35294117647058826,2,139,3,14,6,13,6,6,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_8_hMIN.pdb,17,6.0,0,0,0.35294117647058826,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_8_hMIN.pdb,17,5.6000000000000005,0,0,0.3294117647058824,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_1_hMIN.pdb,17,5.4,0,0,0.31764705882352945,2,139,5,46,4,32,2,35,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_7_hMIN.pdb,17,5.4,0,0,0.31764705882352945,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_8_hMIN.pdb,17,5.3999999999999995,0,0,0.3176470588235294,2,139,3,14,5,6,0,12,7,5
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_1_hMIN.pdb,17,5.200000000000001,0,0,0.30588235294117655,2,139,2,73,1,74,4,10,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_6_hMIN.pdb,17,5.2,0,0,0.3058823529411765,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_7_hMIN.pdb,17,5.199999999999999,0,0,0.30588235294117644,2,139,3,14,6,13,6,6,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_9_hMIN.pdb,17,4.800000000000001,0,0,0.28235294117647064,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_8_hMIN.pdb,17,4.0,0,0,0.23529411764705882,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_3_hMIN.pdb,17,4.0,0,0,0.23529411764705882,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_4_hMIN.pdb,17,3.4,0,0,0.19999999999999998,2,139,4,3,2,15,0,12,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_1_hMIN.pdb,17,2.6,0,0,0.15294117647058825,2,139,3,14,6,13,6,6,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_1_hMIN.pdb,17,1.4000000000000001,0,0,0.0823529411764706,2,139,4,3,2,15,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_1_hMIN.pdb,17,0.4,0,0,0.023529411764705882,2,139,2,73,1,74,1,63,4,11
